state_date,dimension,method,alpha,beta,training_months,pre_bias,post_bias
2021-08-31,growth,none,0.0,1.0,18,0.2013881195033966,0.2013881195033966
2021-08-31,inflation,none,0.0,1.0,18,-0.2930567851119368,-0.2930567851119368
2021-08-31,labour,none,0.0,1.0,18,-0.6946205066991058,-0.6946205066991058
2021-09-30,growth,none,0.0,1.0,19,0.29626719315416655,0.29626719315416655
2021-09-30,inflation,none,0.0,1.0,19,-0.2711791793099897,-0.2711791793099897
2021-09-30,labour,none,0.0,1.0,19,-0.6918300636140968,-0.6918300636140968
2021-10-31,growth,none,0.0,1.0,20,0.3816583594398595,0.3816583594398595
2021-10-31,inflation,none,0.0,1.0,20,-0.26257370587505297,-0.26257370587505297
2021-10-31,labour,none,0.0,1.0,20,-0.6817974654418284,-0.6817974654418284
2021-11-30,growth,none,0.0,1.0,21,0.3292109705373548,0.3292109705373548
2021-11-30,inflation,none,0.0,1.0,21,-0.31021192489350896,-0.31021192489350896
2021-11-30,labour,none,0.0,1.0,21,-0.667965893925359,-0.667965893925359
2021-12-31,growth,none,0.0,1.0,22,0.2997661017912652,0.2997661017912652
2021-12-31,inflation,none,0.0,1.0,22,-0.31481345177934394,-0.31481345177934394
2021-12-31,labour,none,0.0,1.0,22,-0.6280925910240229,-0.6280925910240229
2022-01-31,growth,none,0.0,1.0,23,0.28673279301773197,0.28673279301773197
2022-01-31,inflation,none,0.0,1.0,23,-0.3186100762918161,-0.3186100762918161
2022-01-31,labour,none,0.0,1.0,23,-0.6118283929493047,-0.6118283929493047
2022-02-28,growth,none,0.0,1.0,24,0.4018658978187289,0.4018658978187289
2022-02-28,inflation,none,0.0,1.0,24,-0.3368225933103029,-0.3368225933103029
2022-02-28,labour,none,0.0,1.0,24,-0.6074590638860751,-0.6074590638860751
2022-03-31,growth,none,0.0,1.0,25,0.540360758166364,0.540360758166364
2022-03-31,inflation,none,0.0,1.0,25,-0.324700120127634,-0.324700120127634
2022-03-31,labour,none,0.0,1.0,25,-0.6033460936412881,-0.6033460936412881
2022-04-30,growth,none,0.0,1.0,26,0.6734238059291962,0.6734238059291962
2022-04-30,inflation,none,0.0,1.0,26,-0.32717933989626685,-0.32717933989626685
2022-04-30,labour,none,0.0,1.0,26,-0.5803301120136953,-0.5803301120136953
2022-05-31,growth,none,0.0,1.0,27,0.7840199095346088,0.7840199095346088
2022-05-31,inflation,none,0.0,1.0,27,-0.30476985618202407,-0.30476985618202407
2022-05-31,labour,none,0.0,1.0,27,-0.55419159781354,-0.55419159781354
2022-06-30,growth,none,0.0,1.0,28,0.8727784328937233,0.8727784328937233
2022-06-30,inflation,none,0.0,1.0,28,-0.3158345891217044,-0.3158345891217044
2022-06-30,labour,none,0.0,1.0,28,-0.5381872536780187,-0.5381872536780187
2022-07-31,growth,none,0.0,1.0,29,0.952695201594653,0.952695201594653
2022-07-31,inflation,none,0.0,1.0,29,-0.34703807709900714,-0.34703807709900714
2022-07-31,labour,none,0.0,1.0,29,-0.5311886097433063,-0.5311886097433063
2022-08-31,growth,none,0.0,1.0,30,0.921223892330208,0.921223892330208
2022-08-31,inflation,none,0.0,1.0,30,-0.2735326656848311,-0.2735326656848311
2022-08-31,labour,none,0.0,1.0,30,-0.5417913889133719,-0.5417913889133719
2022-09-30,growth,none,0.0,1.0,31,0.8990133572539831,0.8990133572539831
2022-09-30,inflation,none,0.0,1.0,31,-0.3044003791466944,-0.3044003791466944
2022-09-30,labour,none,0.0,1.0,31,-0.5276414421454635,-0.5276414421454635
2022-10-31,growth,none,0.0,1.0,32,0.8558478010293001,0.8558478010293001
2022-10-31,inflation,none,0.0,1.0,32,-0.30827689842060474,-0.30827689842060474
2022-10-31,labour,none,0.0,1.0,32,-0.5074937421334087,-0.5074937421334087
2022-11-30,growth,none,0.0,1.0,33,0.8248998443902575,0.8248998443902575
2022-11-30,inflation,none,0.0,1.0,33,-0.300461776483138,-0.300461776483138
2022-11-30,labour,none,0.0,1.0,33,-0.48352872603873437,-0.48352872603873437
2022-12-31,growth,none,0.0,1.0,34,0.7915233936773701,0.7915233936773701
2022-12-31,inflation,none,0.0,1.0,34,-0.2668293965957212,-0.2668293965957212
2022-12-31,labour,none,0.0,1.0,34,-0.49355579654106163,-0.49355579654106163
2023-01-31,growth,none,0.0,1.0,35,0.7246197207442868,0.7246197207442868
2023-01-31,inflation,none,0.0,1.0,35,-0.2537266118323145,-0.2537266118323145
2023-01-31,labour,none,0.0,1.0,35,-0.48613005754295247,-0.48613005754295247
2023-02-28,growth,none,0.0,1.0,36,0.7477541149667953,0.7477541149667953
2023-02-28,inflation,none,0.0,1.0,36,-0.28365448970054197,-0.28365448970054197
2023-02-28,labour,none,0.0,1.0,36,-0.48446852174171234,-0.48446852174171234
2023-03-31,growth,none,0.0,1.0,37,0.788842420634574,0.788842420634574
2023-03-31,inflation,none,0.0,1.0,37,-0.27375424084851807,-0.27375424084851807
2023-03-31,labour,none,0.0,1.0,37,-0.4557278343825344,-0.4557278343825344
2023-04-30,growth,none,0.0,1.0,38,0.8248011239641109,0.8248011239641109
2023-04-30,inflation,none,0.0,1.0,38,-0.26004078856995794,-0.26004078856995794
2023-04-30,labour,none,0.0,1.0,38,-0.43723795181627645,-0.43723795181627645
2023-05-31,growth,none,0.0,1.0,39,0.8062483655090654,0.8062483655090654
2023-05-31,inflation,none,0.0,1.0,39,-0.2699900600087565,-0.2699900600087565
2023-05-31,labour,none,0.0,1.0,39,-0.44796587568473495,-0.44796587568473495
2023-06-30,growth,none,0.0,1.0,40,0.7889334936601735,0.7889334936601735
2023-06-30,inflation,none,0.0,1.0,40,-0.2620262268389428,-0.2620262268389428
2023-06-30,labour,none,0.0,1.0,40,-0.43604486185193486,-0.43604486185193486
2023-07-31,growth,none,0.0,1.0,41,0.7743316028614404,0.7743316028614404
2023-07-31,inflation,none,0.0,1.0,41,-0.24491077571908138,-0.24491077571908138
2023-07-31,labour,none,0.0,1.0,41,-0.420738694562094,-0.420738694562094
2023-08-31,growth,none,0.0,1.0,42,0.7185181086569835,0.7185181086569835
2023-08-31,inflation,none,0.0,1.0,42,-0.2409301319694667,-0.2409301319694667
2023-08-31,labour,none,0.0,1.0,42,-0.4247090645979507,-0.4247090645979507
2023-09-30,growth,none,0.0,1.0,43,0.6680435866063864,0.6680435866063864
2023-09-30,inflation,none,0.0,1.0,43,-0.23930473078151973,-0.23930473078151973
2023-09-30,labour,none,0.0,1.0,43,-0.3967601182420346,-0.3967601182420346
2023-10-31,growth,none,0.0,1.0,44,0.6060014073131658,0.6060014073131658
2023-10-31,inflation,none,0.0,1.0,44,-0.24079429210608383,-0.24079429210608383
2023-10-31,labour,none,0.0,1.0,44,-0.3760445133891759,-0.3760445133891759
2023-11-30,growth,none,0.0,1.0,45,0.5754222473844524,0.5754222473844524
2023-11-30,inflation,none,0.0,1.0,45,-0.2194730728730378,-0.2194730728730378
2023-11-30,labour,none,0.0,1.0,45,-0.34575636695746603,-0.34575636695746603
2023-12-31,growth,none,0.0,1.0,46,0.5471456084707705,0.5471456084707705
2023-12-31,inflation,none,0.0,1.0,46,-0.20310600775739832,-0.20310600775739832
2023-12-31,labour,none,0.0,1.0,46,-0.34224380305578816,-0.34224380305578816
2024-01-31,growth,none,0.0,1.0,47,0.5213602171144479,0.5213602171144479
2024-01-31,inflation,none,0.0,1.0,47,-0.20211240762367738,-0.20211240762367738
2024-01-31,labour,none,0.0,1.0,47,-0.3358435466783762,-0.3358435466783762
2024-02-29,growth,none,0.0,1.0,48,0.532026958376304,0.532026958376304
2024-02-29,inflation,none,0.0,1.0,48,-0.21275011467244323,-0.21275011467244323
2024-02-29,labour,none,0.0,1.0,48,-0.34099813251243277,-0.34099813251243277
2024-03-31,growth,none,0.0,1.0,49,0.5444231089101351,0.5444231089101351
2024-03-31,inflation,none,0.0,1.0,49,-0.20831146815652926,-0.20831146815652926
2024-03-31,labour,none,0.0,1.0,49,-0.31769361962601667,-0.31769361962601667
2024-04-30,growth,none,0.0,1.0,50,0.5454857393867748,0.5454857393867748
2024-04-30,inflation,none,0.0,1.0,50,-0.2093624637954359,-0.2093624637954359
2024-04-30,labour,none,0.0,1.0,50,-0.31237043304356144,-0.31237043304356144
2024-05-31,growth,none,0.0,1.0,51,0.5343148880695732,0.5343148880695732
2024-05-31,inflation,none,0.0,1.0,51,-0.20495956592194056,-0.20495956592194056
2024-05-31,labour,none,0.0,1.0,51,-0.29209010280316283,-0.29209010280316283
2024-06-30,growth,none,0.0,1.0,52,0.5166159117338923,0.5166159117338923
2024-06-30,inflation,none,0.0,1.0,52,-0.18809389966014736,-0.18809389966014736
2024-06-30,labour,none,0.0,1.0,52,-0.2841487132190126,-0.2841487132190126
2024-07-31,growth,none,0.0,1.0,53,0.49476978567422375,0.49476978567422375
2024-07-31,inflation,none,0.0,1.0,53,-0.17905132451234942,-0.17905132451234942
2024-07-31,labour,none,0.0,1.0,53,-0.27665309296431845,-0.27665309296431845
