candidate_id,state_date,forecast_growth,forecast_inflation,forecast_labour,actual_growth,actual_inflation,actual_labour,growth_lower,growth_upper,inflation_lower,inflation_upper,labour_lower,labour_upper,forecast_regime,actual_regime,forecast_family,actual_family,growth_error,inflation_error,labour_error,core_candidate_id,uncertainty_id,top_regime,top_probability,actual_regime_probability,brier_score,log_loss,coverage_80,entropy,effective_regimes,probabilities_json,growth_calibration_alpha,growth_calibration_beta,inflation_calibration_alpha,inflation_calibration_beta,labour_calibration_alpha,labour_calibration_beta,calibration_method,architecture_id,decision_regime,decision_family,abstained,possible_family_count
none__direct_eight_state,2021-08-31,2.0,0.24531578132642637,-0.16500911719122066,-0.004090518868025583,0.1226980562013684,0.47659297089271546,-1.3723855356109649,2.0,-0.19654693478614196,0.6871784974389947,-1.1885823665571162,1.4710817443015096,reflation,balanced_expansion,inflationary_expansion,benign_expansion,2.0040905188680256,0.12261772512505797,-0.6416020880839362,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.509765625,0.080078125,1.162567138671875,2.5247525583352,False,1.435649169249879,4.202372174288254,"{""balanced_expansion"": 0.080078125, ""demand_slowdown"": 0.017578125, ""disinflationary_expansion"": 0.1171875, ""hard_landing_risk"": 0.0087890625, ""mixed_transition"": 0.1943359375, ""overheating"": 0.0673828125, ""reflation"": 0.509765625, ""stagflation_risk"": 0.0048828125}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,reflation,inflationary_expansion,False,1
none__direct_eight_state,2021-09-30,2.0,-0.15720679468461868,0.03112433597236039,-0.004090518868025583,-0.05813708407336322,0.5223024361410898,1.859026804312573,2.0,-0.6638256131431689,0.34941202377393143,-1.092629756964711,1.409480983366077,disinflationary_expansion,balanced_expansion,benign_expansion,benign_expansion,2.0040905188680256,-0.09906971061125547,-0.4911781001687294,expanding_robust_z__policy__equal__sensitive,independent_normal,disinflationary_expansion,0.435546875,1e-12,1.3423004150390625,27.631021115928547,False,1.137112221910885,3.1177519769414754,"{""balanced_expansion"": 0.0, ""demand_slowdown"": 0.0, ""disinflationary_expansion"": 0.435546875, ""hard_landing_risk"": 0.0, ""mixed_transition"": 0.310546875, ""overheating"": 0.017578125, ""reflation"": 0.236328125, ""stagflation_risk"": 0.0}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,disinflationary_expansion,benign_expansion,False,1
none__direct_eight_state,2021-10-31,1.2802631924872614,0.1464260617133165,0.07536185762014608,2.0,1.4094023669759452,0.4666963212161174,-2.0,2.0,-0.3542394326914504,0.6470915561180834,-1.0684276766974796,1.4467795453294663,reflation,overheating,inflationary_expansion,inflationary_expansion,-0.7197368075127386,-1.2629763052626286,-0.39133446359597135,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.33203125,0.046875,1.1069469451904297,3.0602707946915624,False,1.790594305562494,5.993013089244363,"{""balanced_expansion"": 0.11328125, ""demand_slowdown"": 0.0888671875, ""disinflationary_expansion"": 0.1552734375, ""hard_landing_risk"": 0.04296875, ""mixed_transition"": 0.203125, ""overheating"": 0.046875, ""reflation"": 0.33203125, ""stagflation_risk"": 0.017578125}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,reflation,inflationary_expansion,False,1
none__direct_eight_state,2021-11-30,1.6814238581233845,0.8781493486898233,0.34829909120729174,2.0,1.2895948650717017,0.13905232130325612,-2.0,2.0,0.3514178299636672,1.4048808674159794,-0.7971941460859292,1.437026214738658,overheating,reflation,inflationary_expansion,inflationary_expansion,-0.31857614187661554,-0.41144551638187843,0.20924676990403562,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.46875,0.46875,0.41821861267089844,0.7576857016975165,True,1.2785118311369863,3.5912912989862376,"{""balanced_expansion"": 0.0205078125, ""demand_slowdown"": 0.0078125, ""disinflationary_expansion"": 0.0068359375, ""hard_landing_risk"": 0.0126953125, ""mixed_transition"": 0.0732421875, ""overheating"": 0.3564453125, ""reflation"": 0.46875, ""stagflation_risk"": 0.0537109375}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,overheating,inflationary_expansion,False,1
none__direct_eight_state,2021-12-31,2.0,0.5268710109471743,0.44571893512432503,2.0,0.9290068265133781,0.6997349704298288,-0.8894464861108196,2.0,0.06966566992424442,0.9840763519701042,-0.8304151755416157,1.5581654124562048,overheating,overheating,inflationary_expansion,inflationary_expansion,0.0,-0.4021358155662038,-0.25401603530550376,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.5458984375,0.279296875,0.8285293579101562,1.2754799947796005,True,1.2047035332095046,3.335769986436539,"{""balanced_expansion"": 0.044921875, ""demand_slowdown"": 0.00390625, ""disinflationary_expansion"": 0.0283203125, ""hard_landing_risk"": 0.001953125, ""mixed_transition"": 0.0908203125, ""overheating"": 0.279296875, ""reflation"": 0.5458984375, ""stagflation_risk"": 0.0048828125}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,overheating,inflationary_expansion,False,1
none__direct_eight_state,2022-01-31,1.0499273082416583,0.24897265511626848,0.46761310613300866,-2.0,1.0046831398517682,0.9745776015648034,-2.0,2.0,-0.19136098160282183,0.6893062918353587,-0.8713185417783335,1.584606444631827,reflation,stagflation_risk,inflationary_expansion,adverse_supply,3.0499273082416583,-0.7557104847354996,-0.5069644954317948,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.326171875,0.025390625,1.1411895751953125,3.673375267577971,False,1.8173841551083225,6.155734923001946,"{""balanced_expansion"": 0.1259765625, ""demand_slowdown"": 0.12890625, ""disinflationary_expansion"": 0.107421875, ""hard_landing_risk"": 0.0185546875, ""mixed_transition"": 0.1826171875, ""overheating"": 0.0849609375, ""reflation"": 0.326171875, ""stagflation_risk"": 0.025390625}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,reflation,inflationary_expansion,False,1
none__direct_eight_state,2022-02-28,1.8642374065096066,0.5954485976702854,-0.27278166969670997,-2.0,0.6292093614138652,0.23185313806969066,-2.0,2.0,0.16370546347570658,1.027191731864864,-0.9459731651838423,1.0875551348092853,reflation,stagflation_risk,inflationary_expansion,adverse_supply,3.8642374065096066,-0.033760763743579836,-0.5046348077664007,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.6552734375,0.0234375,1.408529281616211,3.7534179752515073,False,1.2246922458851894,3.4031185978635072,"{""balanced_expansion"": 0.083984375, ""demand_slowdown"": 0.0185546875, ""disinflationary_expansion"": 0.013671875, ""hard_landing_risk"": 0.0234375, ""mixed_transition"": 0.0703125, ""overheating"": 0.111328125, ""reflation"": 0.6552734375, ""stagflation_risk"": 0.0234375}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,reflation,inflationary_expansion,False,1
none__direct_eight_state,2022-03-31,2.0,0.19682380540972422,0.4443271699950868,-2.0,0.5859836395218125,0.44925774131896334,-1.1796516750238935,2.0,-0.2545323191806952,0.6481799300001436,-0.7756082494431442,1.485314667072177,reflation,stagflation_risk,inflationary_expansion,adverse_supply,4.0,-0.3891598341120883,-0.004930571323876531,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.4375,0.00390625,1.2668342590332031,5.545177444479562,False,1.5116886677201764,4.534381396328833,"{""balanced_expansion"": 0.0654296875, ""demand_slowdown"": 0.025390625, ""disinflationary_expansion"": 0.1552734375, ""hard_landing_risk"": 0.0009765625, ""mixed_transition"": 0.208984375, ""overheating"": 0.1025390625, ""reflation"": 0.4375, ""stagflation_risk"": 0.00390625}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,reflation,inflationary_expansion,False,1
none__direct_eight_state,2022-04-30,1.6595186032753362,0.42791833871618556,0.4352107954083665,-2.0,0.1500416183278965,0.30980102401786636,-2.0,2.0,0.002472209836134151,0.853364467596237,-0.8748494525030076,1.5232850768420962,reflation,demand_slowdown,inflationary_expansion,contraction,3.659518603275336,0.27787672038828903,0.12540977139050014,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.45703125,0.04296875,1.1922168731689453,3.147282171681192,False,1.5726195737153656,4.8192560694627025,"{""balanced_expansion"": 0.09765625, ""demand_slowdown"": 0.04296875, ""disinflationary_expansion"": 0.044921875, ""hard_landing_risk"": 0.0078125, ""mixed_transition"": 0.1259765625, ""overheating"": 0.1982421875, ""reflation"": 0.45703125, ""stagflation_risk"": 0.025390625}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,reflation,inflationary_expansion,False,1
none__direct_eight_state,2022-05-31,1.269258563589816,0.06191053796796099,0.17729204890297728,-2.0,0.6764929164610344,0.2833620109219205,-2.0,2.0,-0.39890221500625417,0.5227232909421762,-0.9096311573303841,1.5476382408973268,mixed_transition,stagflation_risk,mixed,adverse_supply,3.269258563589816,-0.6145823784930734,-0.1060699620189432,expanding_robust_z__policy__equal__sensitive,independent_normal,reflation,0.2724609375,0.0126953125,1.1660518646240234,4.366522448137917,False,1.7846227543196023,5.9573321458037904,"{""balanced_expansion"": 0.1220703125, ""demand_slowdown"": 0.1044921875, ""disinflationary_expansion"": 0.2099609375, ""hard_landing_risk"": 0.029296875, ""mixed_transition"": 0.2119140625, ""overheating"": 0.037109375, ""reflation"": 0.2724609375, ""stagflation_risk"": 0.0126953125}",0.0,1.0,0.0,1.0,0.0,1.0,none,direct_eight_state,mixed_transition,mixed,False,1
